"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","32","32.7492821718","33.4675357873","34.156649136","23.2215447154242","23.5499770747256","23.69833434668","23.8380197236699","23.9697719614694","24.0942482170998","13.0692263527858","13.1362698476605","13.199749404724","13.259941847274","2.02370909604487","2.10017043343856","2.17790868332625","3.50159564441778","3.71531910981159","3.96931808317657","9.79777489796167","10.5058632439393","11.4151877188567","11.9345622822916","12.9601086271593","13.9163540579659","14.2982304454248","14.6716618454007","15.0327220050177","15.3902210313768","15.7375098351803","15.6918839092427","14.6803449530836","14.8137846646743","15.0923870999961","15.3836772919651","15.637551886282","15.7099962770604","15.897758624823","16.020365162043","16.1504356396127","16.1176632478697","12.4648417783819","12.2972181461664","12.0084634557423","11.6772167927827","10.8188194447893","10.8066607975432","11.1226050843462","11.1377902512872","","",
"Afghanistan","AFG","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9999578723","0.9885363474","0.9766313887","0.9642116396","0.9512429715","0.9376881711","0.9235065833","0.9086537043","0.8930807149","0.8767339444","0.8595542529","0.841476316","0.8008617371","0.7602538124","0.8080493617","0.8557600407","0.9033860751","0.95092769","0.9983851096","0.9983851096","0.9983851096","0.9983851096","0.9983851096","0.9983851096","0.9983851096","0.9983851096","0.9983851096","0.9983851096","0.9983851096","0.9983851096","0.9983851096","0.9983851096","0.9983851096","","",
"Africa Western and Central","AFW","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","35","33.8772980789","32.9023543034","32.0478001086","31.292633015","30.620467365","30.0183318057","29.4758240163","28.9845047039","28.5374554102","18.7963944853993","16.6520325781236","14.9343352972362","13.754707256004","12.8074726384727","13.6176401785507","13.6500668798956","16.2427799842246","16.9125524809779","17.5786387460442","18.1772844118729","18.583831758071","18.9003271242177","19.0563548215724","19.1980168798042","19.7335481652005","20.2248262420294","20.7075506618233","21.1546673683553","21.8347701026781","22.4153016861761","22.6190236569281","23.0038309250843","23.7318527775304","24.4386845380868","25.0657384604207","25.3037055263738","25.5343249704949","25.7534115195838","25.9626341869949","26.1630653016211","25.9217599218892","25.6821802277717","25.6878280856765","25.6818550046375","25.6518139651883","25.6530181582188","25.8067615021285","24.6712871265998","24.5448672746499","","",
"Angola","AGO","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.9583333333","16.4049683618","18.7319006249","20.9477051253","23.0601569311","25.0763223287","27.0026377898","28.8449786107","30.6087187666","32.298783265","33.9196940727","35.4756105178","36.9703649277","38.4074941452","39.8892221066","41.3128919024","42.6818502825","43.9991916159","45.2677812411","45.2677812411","45.2677812411","45.2677812411","45.2677812411","45.2677812411","45.2677812411","45.2677812411","45.2677812411","45.2677812411","45.2677812411","45.2677812411","45.2677812411","45.2677812411","45.2677812411","","",
"Albania","ALB","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.3333333333","12.1700313816","16.0600223056","20.0044242517","24.0043868668","28.0610924152","28.597027837","29.0312207262","29.3901317806","29.691778005","29.9488518881","31.567702204","33.3565828082","35.3437662618","37.5641611351","40.061380344","41.9020449223","40.4763812974","38.9931810377","37.4488893339","35.8396523814","34.1612852692","32.4092356405","30.5785424586","28.6637890938","30.4347826087","29.7356828194","25.9157509158","21.6075156576","21.0433244916","","",
"Andorra","AND","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8526538803544","11.2078533203721","11.2965389899458","11.3631776132863","11.784586803428","13.0606537670638","","",
"United Arab Emirates","ARE","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","11","12.8229534947","14.3691882383","15.6972669937","16.8503163866","17.8607983623","18.7536148062","19.5481872837","20.25988603","20.9010339734","21.4816262705","22.009855159","22.4924989284","22.9352143542","23.3427594371","23.7191650854","22.1751748838","20.8338141475","19.6576502711","18.6179359389","17.6922282291","16.8632742785","16.1161171517","15.4392191659","15.4359677621","15.4327163582","19.262449768","22.9155821621","26.4040536816","29.7387518142","32.929624896","35.9857812376","38.9155759544","41.7266872452","44.4261835839","47.0205830648","49.5159059474","50.7441952768","50.4877097152","51.0848126233","","",
"Argentina","ARG","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.955213436","16.0266787541","16.0963136586","16.1641875828","16.2303664921","16.2949130979","16.2054700992","16.1197727228","16.0375905099","15.9587115279","15.8829405453","15.8100974185","15.7400156617","15.6725411769","15.6075311225","15.544852904","15.4843832716","15.4843832716","15.4843832716","15.4843832716","15.4843832716","15.4843832716","15.4843832716","15.4843832716","15.4843832716","","",
