"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","8","8.5193161055","9.0171267894","9.4947407964","8.04231337768076","8.2244383310586","8.3691812060374","8.50546345854807","8.634005844296","8.75544951111003","5.68883537634681","5.69107635053384","5.69319819766387","5.69521017087397","0.473582032135721","0.536067451327773","0.599596383598947","1.29576320433839","1.46115477360764","1.6266115223602","5.19292860710335","5.07993619461205","5.07720789380213","5.0034108354949","4.78090962553224","4.80918034741727","4.82027702979579","4.83103181642724","4.84131056908686","4.85122596381162","4.9567187551481","4.94345422714931","4.47500108039425","4.449947583887","4.44869956067006","4.4763692360784","4.48512897313581","4.48397379144318","4.47428879349326","4.48993633518867","4.49019721751389","4.49951085063361","3.47206378054665","3.38555975192158","4.36964491399792","5.3686471559027","5.81946953448265","5.96682046608081","6.06613240619923","6.06312569489666","","",
"Afghanistan","AFG","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.0386405429","0.0789166065","0.1209342748","0.1648090091","0.2106667074","0.2586449111","0.3088941826","0.3615796837","0.4168829893","0.4750041779","0.5361642502","0.5848585359","0.6335448436","0.6733744681","0.7131333673","0.7528217293","0.7924397417","0.8319875914","0.8319875914","0.8319875914","0.8319875914","0.8319875914","0.8319875914","0.8319875914","0.8319875914","0.8319875914","0.8319875914","0.8319875914","0.8319875914","0.8319875914","0.8319875914","0.8319875914","","",
"Africa Western and Central","AFW","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","13","12.6626730014","12.3697414126","12.112982075","11.8860845839","11.6841257051","11.503208066","11.3402061856","11.192584394","11.0582639715","6.89289501576812","6.05257539041047","5.37624180303032","4.92787034001791","4.56783060172401","4.19500325137922","4.26064843122101","7.03418687414874","7.21123398739659","7.52343611369332","7.80399995813902","8.22760782388304","8.61336342998171","8.90576002137134","9.17156692014722","9.24329165605194","9.3090900250087","9.38216538159333","9.41916942417254","9.49054899305424","9.55428877095424","9.62605255313088","9.75683085734063","9.99284769630675","10.2213956619481","10.4186005229604","10.2638501053594","10.1212251878299","9.98053009032697","9.84206605061778","9.70585757361028","9.62820884079236","9.55004551532758","9.51408668193486","9.47539781685084","9.36662483034185","9.33677164401721","9.37076393840823","8.9590601957042","8.91106988207433","","",
"Angola","AGO","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","11.8818842278","13.6716963877","15.3760321357","17.0008718396","18.5516506922","20.0333194502","21.4503972296","22.8070175439","24.1069685731","25.3537284895","26.5504965336","27.7002204262","28.8056206089","29.9161515393","30.9831688218","32.009180791","32.9965066259","33.9472938509","33.9472938509","33.9472938509","33.9472938509","33.9472938509","33.9472938509","33.9472938509","33.9472938509","33.9472938509","33.9472938509","33.9472938509","33.9472938509","33.9472938509","33.9472938509","33.9472938509","","",
"Albania","ALB","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.3333333333","9.4597996274","10.601912873","11.7600013613","12.9344026321","14.1254638019","13.6280779807","13.2251163961","12.892021657","12.6120727136","12.3734900424","13.0411434709","13.778921545","14.59848456","15.5142296633","16.5441438869","17.419562723","16.9506467694","16.4628064036","15.9548724111","15.4255772344","14.8735444118","14.2972766245","13.6951421348","13.0653593555","14.1630434783","13.2323788546","10.0732600733","10.2296450939","17.7718832891","","",
"Andorra","AND","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.13608383117182","3.08286164070745","3.17996113911258","5.95361857074402","6.60511331548561","6.02239169118093","","",
"United Arab Emirates","ARE","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","9","9.0698939353","9.1291781855","9.1800981079","9.2243072223","9.2630501535","9.2972816657","9.3277464019","9.3550336729","9.3796159527","9.401876466","9.4221293116","9.4406343763","9.4576085468","9.4732342496","9.4876660342","8.0389199107","6.7803036547","5.6766937648","4.7011162601","3.8325126545","3.0535846428","2.3515171579","1.7154687962","1.7206658638","1.7258629315","1.6140849448","1.5074613916","1.4056437764","1.3083143272","1.2151826831","1.125983001","1.0404714211","0.9584238406","0.8796339528","0.8039115148","0.7310808141","0.7342726731","0.7218103785","0.7297830375","","",
"Argentina","ARG","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.7473757873","9.6527013318","10.5348391221","11.3946687425","12.2330258456","13.0507048612","12.7788994812","12.5184765493","12.268735732","12.0290329941","11.7987750531","11.5774144764","11.3644453361","11.1593993487","10.9618424375","10.7713716659","10.5876124934","10.5876124934","10.5876124934","10.5876124934","10.5876124934","10.5876124934","10.5876124934","10.5876124934","10.5876124934","","",
